scanner,image,tp,fp,fn,precision,recall,f1
trivy,debian-bullseye-slim,172,7,0,0.9609,1.0,0.9801
trivy,nginx-1.20,657,17,8,0.9748,0.988,0.9813
trivy,node-16-alpine3.18,54,1,0,0.9818,1.0,0.9908
trivy,node-16-slim,117,4,0,0.9669,1.0,0.9832
trivy,python-3.9-alpine3.18,47,0,0,1.0,1.0,1.0
trivy,python-3.9-slim-bookworm,333,6,0,0.9823,1.0,0.9911
grype,debian-bullseye-slim,172,0,0,1.0,1.0,1.0
grype,nginx-1.20,665,3,0,0.9955,1.0,0.9977
grype,node-16-alpine3.18,38,51,16,0.427,0.7037,0.5315
grype,node-16-slim,101,110,16,0.4787,0.8632,0.6159
grype,python-3.9-alpine3.18,38,71,9,0.3486,0.8085,0.4872
grype,python-3.9-slim-bookworm,324,58,9,0.8482,0.973,0.9063
scout,debian-bullseye-slim,9,57,163,0.1364,0.0523,0.0756
scout,nginx-1.20,122,245,543,0.3324,0.1835,0.2364
scout,node-16-alpine3.18,21,15,33,0.5833,0.3889,0.4667
scout,node-16-slim,16,1,101,0.9412,0.1368,0.2388
scout,python-3.9-alpine3.18,14,20,33,0.4118,0.2979,0.3457
scout,python-3.9-slim-bookworm,49,86,284,0.363,0.1471,0.2094
