scanner,image,cve_id,package,version,severity
trivy,python-3.9-slim-bookworm,CVE-2011-3374,apt,2.6.1,LOW
trivy,python-3.9-slim-bookworm,TEMP-0841856-B18BAF,bash,5.2.15-2+b2,LOW
trivy,python-3.9-slim-bookworm,CVE-2024-28085,bsdutils,1:2.38.1-5+b1,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2026-27456,bsdutils,1:2.38.1-5+b1,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2026-3184,bsdutils,1:2.38.1-5+b1,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2022-0563,bsdutils,1:2.38.1-5+b1,LOW
trivy,python-3.9-slim-bookworm,CVE-2025-14104,bsdutils,1:2.38.1-5+b1,LOW
trivy,python-3.9-slim-bookworm,CVE-2016-2781,coreutils,9.1-1,LOW
trivy,python-3.9-slim-bookworm,CVE-2017-18018,coreutils,9.1-1,LOW
trivy,python-3.9-slim-bookworm,CVE-2025-5278,coreutils,9.1-1,LOW
trivy,python-3.9-slim-bookworm,CVE-2026-2219,dpkg,1.21.22,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2025-6297,dpkg,1.21.22,LOW
trivy,python-3.9-slim-bookworm,CVE-2022-27943,gcc-12-base,12.2.0-14,LOW
trivy,python-3.9-slim-bookworm,CVE-2023-4039,gcc-12-base,12.2.0-14,LOW
trivy,python-3.9-slim-bookworm,CVE-2025-68973,gpgv,2.2.40-1.1,HIGH
trivy,python-3.9-slim-bookworm,CVE-2025-30258,gpgv,2.2.40-1.1,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2025-68972,gpgv,2.2.40-1.1,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2022-3219,gpgv,2.2.40-1.1,LOW
trivy,python-3.9-slim-bookworm,CVE-2011-3374,libapt-pkg6.0,2.6.1,LOW
trivy,python-3.9-slim-bookworm,CVE-2024-28085,libblkid1,2.38.1-5+b1,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2026-27456,libblkid1,2.38.1-5+b1,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2026-3184,libblkid1,2.38.1-5+b1,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2022-0563,libblkid1,2.38.1-5+b1,LOW
trivy,python-3.9-slim-bookworm,CVE-2025-14104,libblkid1,2.38.1-5+b1,LOW
trivy,python-3.9-slim-bookworm,CVE-2024-2961,libc-bin,2.36-9+deb12u4,HIGH
trivy,python-3.9-slim-bookworm,CVE-2024-33599,libc-bin,2.36-9+deb12u4,HIGH
trivy,python-3.9-slim-bookworm,CVE-2025-4802,libc-bin,2.36-9+deb12u4,HIGH
trivy,python-3.9-slim-bookworm,CVE-2026-0861,libc-bin,2.36-9+deb12u4,HIGH
trivy,python-3.9-slim-bookworm,CVE-2024-33600,libc-bin,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2024-33601,libc-bin,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2024-33602,libc-bin,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2025-0395,libc-bin,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2025-15281,libc-bin,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2025-8058,libc-bin,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2026-0915,libc-bin,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2026-4046,libc-bin,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2026-4437,libc-bin,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2026-4438,libc-bin,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2026-5435,libc-bin,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2026-5450,libc-bin,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2026-5928,libc-bin,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2026-6238,libc-bin,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2010-4756,libc-bin,2.36-9+deb12u4,LOW
trivy,python-3.9-slim-bookworm,CVE-2018-20796,libc-bin,2.36-9+deb12u4,LOW
trivy,python-3.9-slim-bookworm,CVE-2019-1010022,libc-bin,2.36-9+deb12u4,LOW
trivy,python-3.9-slim-bookworm,CVE-2019-1010023,libc-bin,2.36-9+deb12u4,LOW
trivy,python-3.9-slim-bookworm,CVE-2019-1010024,libc-bin,2.36-9+deb12u4,LOW
trivy,python-3.9-slim-bookworm,CVE-2019-1010025,libc-bin,2.36-9+deb12u4,LOW
trivy,python-3.9-slim-bookworm,CVE-2019-9192,libc-bin,2.36-9+deb12u4,LOW
trivy,python-3.9-slim-bookworm,CVE-2024-2961,libc6,2.36-9+deb12u4,HIGH
trivy,python-3.9-slim-bookworm,CVE-2024-33599,libc6,2.36-9+deb12u4,HIGH
trivy,python-3.9-slim-bookworm,CVE-2025-4802,libc6,2.36-9+deb12u4,HIGH
trivy,python-3.9-slim-bookworm,CVE-2026-0861,libc6,2.36-9+deb12u4,HIGH
trivy,python-3.9-slim-bookworm,CVE-2024-33600,libc6,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2024-33601,libc6,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2024-33602,libc6,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2025-0395,libc6,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2025-15281,libc6,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2025-8058,libc6,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2026-0915,libc6,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2026-4046,libc6,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2026-4437,libc6,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2026-4438,libc6,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2026-5435,libc6,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2026-5450,libc6,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2026-5928,libc6,2.36-9+deb12u4,MEDIUM
trivy,python-3.9-slim-bookworm,CVE-2026-6238,libc6,2.36-9+deb12u4,MEDIUM
