image,cve_id,package,n_scanners,scanners
python-3.9-slim-bookworm,CVE-2011-3374,apt,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2024-28085,bsdutils,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-27456,bsdutils,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-3184,bsdutils,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2022-0563,bsdutils,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-14104,bsdutils,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2016-2781,coreutils,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2017-18018,coreutils,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2025-5278,coreutils,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2026-2219,dpkg,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-6297,dpkg,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2022-27943,gcc-12-base,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-4039,gcc-12-base,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-68973,gpgv,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-30258,gpgv,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-68972,gpgv,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2022-3219,gpgv,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2011-3374,libapt-pkg6.0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-28085,libblkid1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-27456,libblkid1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-3184,libblkid1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2022-0563,libblkid1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-14104,libblkid1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-2961,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-33599,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-4802,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-0861,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-33600,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-33601,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-33602,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-0395,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-15281,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-8058,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-0915,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-4046,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-4437,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-4438,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-5435,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-5450,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-5928,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-6238,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2010-4756,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2018-20796,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2019-1010022,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2019-1010023,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2019-1010024,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2019-1010025,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2019-9192,libc-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-2961,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-33599,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-4802,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-0861,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-33600,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-33601,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-33602,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-0395,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-15281,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-8058,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-0915,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-4046,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-4437,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-4438,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-5435,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-5450,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-5928,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-6238,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2010-4756,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2018-20796,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2019-1010022,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2019-1010023,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2019-1010024,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2019-1010025,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2019-9192,libc6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-4878,libcap2,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-1390,libcap2,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2024-45491,libexpat1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-45492,libexpat1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-52425,libexpat1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-45490,libexpat1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-8176,libexpat1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-25210,libexpat1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-50602,libexpat1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-59375,libexpat1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-66382,libexpat1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-32776,libexpat1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-32777,libexpat1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-32778,libexpat1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-52426,libexpat1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-28757,libexpat1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-24515,libexpat1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-41080,libexpat1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-45186,libexpat1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2022-27943,libgcc-s1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-4039,libgcc-s1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-41989,libgcrypt20,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2018-6829,libgcrypt20,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2024-2236,libgcrypt20,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2026-33845,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-32988,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-32990,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-33846,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-3833,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-42010,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-42011,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-12243,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-28834,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-28835,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-14831,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-32989,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-6395,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-9820,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2011-3389,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-3832,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-42009,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-42012,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-42013,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-42014,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-42015,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-5260,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-5419,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-37371,libgssapi-krb5-2,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-37370,libgssapi-krb5-2,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-26462,libgssapi-krb5-2,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-24528,libgssapi-krb5-2,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-3576,libgssapi-krb5-2,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-40355,libgssapi-krb5-2,2,"grype,trivy"
